path,title
/scp-series-7-tales-edition,SCP Series 7 Tales Edition - Tales associated with SCPs of this Series.
/scp-6000,"SCP-6000 - The Serpent, the Moose, and the Wanderer's Library"
/scp-6001,SCP-6001 - Avalon
/scp-6002,SCP-6002 - All Creatures Great and Small
/scp-6003,SCP-6003 - Beacon
/scp-6004,SCP-6004 - The Rainbow Serpent
/scp-6005,SCP-6005 - Cascadia
/scp-6006,SCP-6006 - Theseus
/scp-6007,SCP-6007 - Wanderlust
/scp-6008,SCP-6008 - Noah's Ark
/scp-6009,SCP-6009 - Powerhouse
/scp-6010,SCP-6010 - Carcinization
/scp-6011,SCP-6011 - Flat Earth
/scp-6012,SCP-6012 - Let It Go.
/scp-6013,SCP-6013 - The Leviathan of the Aegean
/scp-6014,SCP-6014 - All For The Better
/scp-6015,SCP-6015 - Nature's Stance
/scp-6016,SCP-6016 - When Elephants Still Did Magic
/scp-6017,SCP-6017 - Just a quiz?
/scp-6018,SCP-6018 - The Beforelife
/scp-6019,SCP-6019 - Giah-Rex
/scp-6020,"SCP-6020 - But Doctor, I AM the Earth God Hepolokoli"
/scp-6021,"SCP-6021 - Tabernacle, TX"
/scp-6022,SCP-6022 - Of Two Different Natures
/scp-6023,"SCP-6023 - Fish Snacks, Fish Snacks"
/scp-6024,SCP-6024 - The Reality Dreamer
/scp-6025,SCP-6025 - Those Who Still Fight
/scp-6026,SCP-6026 - The Bioluminescence That Roams
/scp-6027,"SCP-6027 - Please, Don't Steal"
/scp-6028,SCP-6028 - Unprecedented Times
/scp-6029,SCP-6029 - Cracked
/scp-6030,SCP-6030 - Into The Wild
/scp-6031,SCP-6031 - metal slab that kills people
/scp-6032,SCP-6032 - Winters is Coming
/scp-6033,SCP-6033 - The Friend With Many Arms
/scp-6034,SCP-6034 - The Crack in the Trench
/scp-6035,SCP-6035 - Return of the Rat
/scp-6036,SCP-6036 - A Hand to Hold
/scp-6037,"SCP-6037 - Xtreme Deathmatch Championships Presents: A Light Without Shadow, A Ritual In Five Parts"
/scp-6038,SCP-6038 - A Warfare Innovation
/scp-6039,SCP-6039 - The Bearsitter
/scp-6040,SCP-6040 - Cat Warbler
/scp-6041,SCP-6041 - Chicken Little's Requiem
/scp-6042,SCP-6042 - Vacations at the ends of the worlds
/scp-6043,SCP-6043 - Mrs C. Gren
/scp-6044,"SCP-6044 - A ‘Helpful’ Forest, A Giant Sponge and A Lot of Axolotls"
