path,title
/scp-series-9-tales-edition,scp-series-9-tales-edition - Tales associated with SCPs of this Series.
/scp-8000,SCP-8000 - The Seal of Approval
/scp-8001,SCP-8001 - The Edge of the World
/scp-8002,SCP-8002 - Maslov's Fire
/scp-8003,SCP-8003 - THE GEARS OF TIME
/scp-8004,SCP-8004 - The Life and Death of Vincent Bohart
/scp-8005,SCP-8005 - The Fool
/scp-8006,SCP-8006 - Debris on the Tracks
/scp-8007,SCP-8007 - THE PYROCLASM PROTOCOL
/scp-8008,SCP-8008 - Time Pervert
/scp-8009,SCP-8009 - Her Red Right Hand Protects Us
/scp-8010,SCP-8010 - Mom and Dad
/scp-8011,"SCP-8011 - In Flesh, Tasted"
/scp-8012,SCP-8012 - The Hero's Journey (Ft. Wigglebert the Great)
/scp-8013,SCP-8013 - The Dragon is not a Metaphor for Capitalism
/scp-8014,SCP-8014 - Roma Addenda Est
/scp-8015,SCP-8015 - A Fighting Chance
/scp-8016,SCP-8016 - Gods You Be
/scp-8017,SCP-8017 - Sentience
/scp-8018,SCP-8018 - While You Were Dreaming I Was Turning The Sky
/scp-8019,SCP-8019 - Bear Danger
/scp-8020,SCP-8020 - FALSE IDOL
/scp-8021,SCP-8021 - Life in a Snapshot
/scp-8022,"SCP-8022 - Build Your Dreams, One Brick at a Time."
/scp-8023,SCP-8023 - Secrets in the Dark and City of the Accursed
/scp-8024,SCP-8024 - Typhon
/scp-8025,SCP-8025 - COSMIC COMMANDMENTS
/scp-8026,SCP-8026 - And I'm No Dreamer
/scp-8027,SCP-8027 - The 27 Club
/scp-8028,SCP-8028 - Into The Woods
/scp-8029,SCP-8029 - The Thousand-Year-Old Island That Got Up And Disappeared.
/scp-8030,SCP-8030 - Our Holy Magic
/scp-8031,SCP-8031 - Teat
/scp-8032,SCP-8032 - Dunce
/scp-8033,SCP-8033 - Chronesthesia
/scp-8034,SCP-8034 - A Tongue in the Glovebox
/scp-8035,SCP-8035 - I Have Seen What The Darkness Does
/scp-8036,SCP-8036 - I Love the Theater
/scp-8037,SCP-8037 - Botanical Rhapsody
