,path,title
0,/scp-2000,SCP-2000 - Deus Ex Machina
1,/scp-2001,SCP-2001 - A Space Oddity
2,/scp-2002,SCP-2002 - A Dead Future
3,/scp-2003,SCP-2003 - Preferred Option
4,/scp-2004,SCP-2004 - Personal Data Assistants of the Gods
5,/scp-2005,SCP-2005 - Predicting the Past
6,/scp-2006,SCP-2006 - Too Spooky
7,/scp-2007,SCP-2007 - Science Fiction
8,/scp-2008,SCP-2008 - …but blood must sometimes be spilled…
9,/scp-2009,SCP-2009 - Thomas Hoang
10,/scp-2010,SCP-2010 - No EyePhone
11,/scp-2011,SCP-2011 - Recomposing Tribesmen
12,/scp-2012,SCP-2012 - Perdidit in Tempore
13,/scp-2013,SCP-2013 - The Reptilian Meme
14,/scp-2014,SCP-2014 - Zsar Magoth
15,/scp-2015,SCP-2015 - Anart Mechas
16,/scp-2016,SCP-2016 - Wizard's Doll
17,/scp-2017,SCP-2017 - The Girl with the Made-Up Disease
18,/scp-2018,SCP-2018 - Museum of You
19,/scp-2019,SCP-2019 - Gelatinous Brain Cube
20,/scp-2020,"SCP-2020 - Cliche, Right?"
21,/scp-2021,SCP-2021 - Single-sided Paper
22,/scp-2022,SCP-2022 - Sunlight Pills™
23,/scp-2023,SCP-2023 - Aidoneus' Apology
24,/scp-2024,SCP-2024 - Mixing Rod
25,/scp-2025,SCP-2025 - Cone of Humanity
26,/scp-2026,SCP-2026 - Civilization Mouthwash
27,/scp-2027,SCP-2027 - Space-Borne Organism
28,/scp-2028,SCP-2028 - Nightmare Snow Globes
29,/scp-2029,SCP-2029 - An Egg in a Jar
30,/scp-2030,SCP-2030 - LA U GH IS F UN
31,/scp-2031,SCP-2031 - Ant farm
32,/scp-2032,SCP-2032 - Father Time
33,/scp-2033,SCP-2033 - Coincidental Tree
34,/scp-2034,SCP-2034 - Tussaud's Delusion
35,/scp-2035,SCP-2035 - Instant Animals
36,/scp-2036,SCP-2036 - Fire Rabbits
37,/scp-2037,SCP-2037 - Dust Bunnies
38,/scp-2038,SCP-2038 - Unstable Standees
39,/scp-2039,SCP-2039 - Pikes 'n' Wagners
40,/scp-2040,SCP-2040 - The Iron Messenger
41,/scp-2041,SCP-2041 - Merry-Go-View
42,/scp-2042,SCP-2042 - One-man Opera
43,/scp-2043,SCP-2043 - REMEMBER ME
44,/scp-2044,SCP-2044 - Big Wigs
45,/scp-2045,SCP-2045 - Ambulatory Molasses Generator
46,/scp-2046,SCP-2046 - Mendeleev's Nightmare
47,/scp-2047,SCP-2047 - Collaboration
48,/scp-2048,SCP-2048 - The Virtual World
49,/scp-2049,SCP-2049 - The Interdimensional Weather Station
50,/scp-2050,SCP-2050 - Sciurine Crusaders
51,/scp-2051,SCP-2051 - Stromatolite Habitat
52,/scp-2052,SCP-2052 - Perpetual Motion Cloth
53,/scp-2053,SCP-2053 - Paternal Rubik's Cube
54,/scp-2054,SCP-2054 - The Double
55,/scp-2055,SCP-2055 - Voir Dire
56,/scp-2056,SCP-2056 - Tsiatko
57,/scp-2057,SCP-2057 - You Are What You Eat
58,/scp-2058,SCP-2058 - Smith Jim
59,/scp-2059,SCP-2059 - Wall of Flesh
60,/scp-2060,SCP-2060 - We Burn Every Day
61,/scp-2061,"SCP-2061 - ""Entire Local Family Chokes To Death On Single Calculator"""
62,/scp-2062,SCP-2062 - Kronecker
63,/scp-2063,SCP-2063 - A Past Vision of the Future
64,/scp-2064,SCP-2064 - Mayhem Dressed in a Suit
65,/scp-2065,SCP-2065 - Empty Inside
66,/scp-2066,SCP-2066 - Highly Visible Entity
67,/scp-2067,SCP-2067 - Shah's Guardian
68,/scp-2068,SCP-2068 - Chaos Pump
69,/scp-2069,SCP-2069 - AEGIS
70,/scp-2070,SCP-2070 - The Fingers of God
71,/scp-2071,"SCP-2071 - Sir Michael Cavendish, in the Guise of the King of Serpents"
72,/scp-2072,SCP-2072 - Prime Ministerial Pet Cemetery
73,/scp-2073,SCP-2073 - One Last Lullaby
74,/scp-2074,SCP-2074 - Sinkbait
75,/scp-2075,SCP-2075 - The Way of All Flesh
76,/scp-2076,"SCP-2076 - ""Shooting Yourself Can Increase Your Bullet Resistance"""
77,/scp-2077,SCP-2077 - Miracle Stuff
78,/scp-2078,SCP-2078 - Third Party
79,/scp-2079,SCP-2079 - The Law of the Grokodus
80,/scp-2080,SCP-2080 - Dads House
81,/scp-2081,SCP-2081 - Making Your Dreams Your Reality
82,/scp-2082,SCP-2082 - Elephas cryophilus
83,/scp-2083,SCP-2083 - Hoboken Bunion Emergency
84,/scp-2084,SCP-2084 - Anabasis
85,/scp-2085,SCP-2085 - The Black Rabbit Company
86,/scp-2086,SCP-2086 - Rerouting
87,/scp-2087,SCP-2087 - The Best of All Possible Worlds
88,/scp-2088,SCP-2088 - The MC&D Center
89,/scp-2089,SCP-2089 - /john/
90,/scp-2090,SCP-2090 - Potentially XK Tim Duncan
91,/scp-2091,SCP-2091 - A Bear and His Granddaughter
92,/scp-2092,SCP-2092 - Space Riddle
93,/scp-2093,SCP-2093 - Open Alpha
94,/scp-2094,SCP-2094 - Motormouth
